2012-01-12 13:31:49 Notice: Notice (8): Undefined index: facebook_id in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 15]
2012-01-12 13:32:32 Notice: Notice (8): Undefined index: firstname in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:32:32 Notice: Notice (8): Undefined index: lastname in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:32:32 Notice: Notice (8): Undefined index: facebook_id in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 15]
2012-01-12 13:33:17 Notice: Notice (8): Undefined index: firstname in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 16]
2012-01-12 13:33:17 Notice: Notice (8): Undefined index: lastname in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 16]
2012-01-12 13:33:17 Notice: Notice (8): Undefined index: facebook_id in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 17]
2012-01-12 13:34:03 Notice: Notice (8): Undefined index: firstname in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:34:03 Notice: Notice (8): Undefined index: lastname in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:50:55 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-12 13:51:38 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-12 13:52:39 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-12 13:53:25 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-12 13:55:26 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-12 13:56:14 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-12 13:57:13 Notice: Notice (8): Undefined variable: FB_USER in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 251]
2012-01-12 13:57:13 Notice: Notice (8): Undefined variable: FB_USER in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 252]
2012-01-12 13:58:16 Notice: Notice (8): Undefined index: first_name in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:58:16 Notice: Notice (8): Undefined index: last_name in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:58:16 Notice: Notice (8): Undefined index: facebook_id in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 15]
2012-01-12 13:59:01 Notice: Notice (8): Undefined index: first_name in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:59:01 Notice: Notice (8): Undefined index: last_name in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:59:01 Notice: Notice (8): Undefined index: facebook_id in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 15]
<<<<<<< HEAD
2012-01-12 15:09:13 Notice: Notice (8): Undefined variable: facebook in [/opt/lampp/htdocs/Hire-Routes/hireroutes/app/views/users/networker_signup.ctp, line 1]
=======
>>>>>>> f936c6bf0cbec9e05bd8755a5f0b45115c750d67
